Year,Revenue Growth,EBIT Margin,Tax Rate,D&A % Revenue,Capex % Revenue,NWC % Revenue
2027,0.02,0.09,0.21,0.016,0.016,0.212
2028,0.04,0.105,0.21,0.016,0.016,0.21
2029,0.05,0.12,0.21,0.016,0.016,0.207
2030,0.05,0.13,0.21,0.016,0.016,0.205
2031,0.04,0.135,0.21,0.016,0.016,0.203
