Year,Revenue,Gross Profit,S&A,EBIT,Effective Tax Rate,D&A,Capex,Accounts Receivable,Inventory,Accounts Payable,Cash,Short-Term Investments,Debt,Diluted Shares,Operating NWC,Revenue Growth,EBIT Margin
2024,51362,22887,16576,6311,0.149,796,812,4427,7519,2851,9860,1722,8903,1529.7,9095,,0.12287294108484872
2025,46309,19790,16088,3702,0.171,775,430,4717,7489,3479,7464,1687,7961,1487.6,8727,-0.09838012538452556,0.07994126411712627
2026,46398,19911,16114,3797,0.203,747,684,5931,7501,3600,7563,1464,7942,1481.0,9832,0.0019218726381480256,0.0818354239406871
